line_id,station_id,position,mode,declared,detections,state,specified
LINE-A,S1,1,DIM-OOS,True,0,DECLARED_SILENT,True
LINE-A,S1,1,SLD-BRDG,False,100,UNDECLARED_DETECTED,False
LINE-A,S1,1,CMP-MISS,False,53,UNDECLARED_DETECTED,False
LINE-A,S1,1,SRF-SCR,False,38,UNDECLARED_DETECTED,False
LINE-A,S1,1,LBL-ERR,False,14,UNDECLARED_DETECTED,False
LINE-A,S1,1,SEAL-GAP,False,0,NOT_APPLICABLE,False
LINE-A,S2,2,DIM-OOS,True,0,DECLARED_SILENT,True
LINE-A,S2,2,SLD-BRDG,True,120,COVERED,False
LINE-A,S2,2,CMP-MISS,True,68,COVERED,False
LINE-A,S2,2,SRF-SCR,False,44,UNDECLARED_DETECTED,False
LINE-A,S2,2,LBL-ERR,False,18,UNDECLARED_DETECTED,False
LINE-A,S2,2,SEAL-GAP,False,0,NOT_APPLICABLE,False
LINE-A,S3,3,DIM-OOS,True,197,COVERED,True
LINE-A,S3,3,SLD-BRDG,True,99,COVERED,False
LINE-A,S3,3,CMP-MISS,True,56,COVERED,False
LINE-A,S3,3,SRF-SCR,True,39,COVERED,False
LINE-A,S3,3,LBL-ERR,False,21,UNDECLARED_DETECTED,False
LINE-A,S3,3,SEAL-GAP,True,0,DECLARED_SILENT,False
LINE-B,S4,1,DIM-OOS,True,0,DECLARED_SILENT,True
LINE-B,S4,1,SLD-BRDG,False,133,UNDECLARED_DETECTED,False
LINE-B,S4,1,CMP-MISS,False,84,UNDECLARED_DETECTED,False
LINE-B,S4,1,SRF-SCR,False,59,UNDECLARED_DETECTED,False
LINE-B,S4,1,LBL-ERR,False,23,UNDECLARED_DETECTED,False
LINE-B,S4,1,SEAL-GAP,False,0,NOT_APPLICABLE,False
LINE-B,S5,2,DIM-OOS,True,0,DECLARED_SILENT,True
LINE-B,S5,2,SLD-BRDG,True,170,COVERED,False
LINE-B,S5,2,CMP-MISS,True,117,COVERED,False
LINE-B,S5,2,SRF-SCR,False,79,UNDECLARED_DETECTED,False
LINE-B,S5,2,LBL-ERR,False,42,UNDECLARED_DETECTED,False
LINE-B,S5,2,SEAL-GAP,False,0,NOT_APPLICABLE,False
LINE-B,S6,3,DIM-OOS,True,0,DECLARED_SILENT,True
LINE-B,S6,3,SLD-BRDG,True,96,COVERED,False
LINE-B,S6,3,CMP-MISS,True,65,COVERED,False
LINE-B,S6,3,SRF-SCR,True,50,COVERED,False
LINE-B,S6,3,LBL-ERR,False,20,UNDECLARED_DETECTED,False
LINE-B,S6,3,SEAL-GAP,True,0,DECLARED_SILENT,False
LINE-C,S7,1,DIM-OOS,True,1,COVERED,True
LINE-C,S7,1,SLD-BRDG,False,98,UNDECLARED_DETECTED,False
LINE-C,S7,1,CMP-MISS,False,79,UNDECLARED_DETECTED,False
LINE-C,S7,1,SRF-SCR,False,39,UNDECLARED_DETECTED,False
LINE-C,S7,1,LBL-ERR,False,16,UNDECLARED_DETECTED,False
LINE-C,S7,1,SEAL-GAP,False,0,NOT_APPLICABLE,False
LINE-C,S8,2,DIM-OOS,True,0,DECLARED_SILENT,True
LINE-C,S8,2,SLD-BRDG,True,122,COVERED,False
LINE-C,S8,2,CMP-MISS,True,66,COVERED,False
LINE-C,S8,2,SRF-SCR,False,40,UNDECLARED_DETECTED,False
LINE-C,S8,2,LBL-ERR,False,20,UNDECLARED_DETECTED,False
LINE-C,S8,2,SEAL-GAP,False,0,NOT_APPLICABLE,False
LINE-C,S9,3,DIM-OOS,True,0,DECLARED_SILENT,True
LINE-C,S9,3,SLD-BRDG,True,91,COVERED,False
LINE-C,S9,3,CMP-MISS,True,65,COVERED,False
LINE-C,S9,3,SRF-SCR,True,33,COVERED,False
LINE-C,S9,3,LBL-ERR,False,16,UNDECLARED_DETECTED,False
LINE-C,S9,3,SEAL-GAP,True,0,DECLARED_SILENT,False
