station_id,prod_day,shift_code,shift_id,work_order_no,inspection_events,mes_units_completed,qty_variance_pct,shift_present,variance_flag,downtime_min
S1,2026-03-31,C,2026-03-31-C,,40,41,2.5,True,False,39
S1,2026-04-01,A,2026-04-01-A,WO-100001,50,49,-2.0,True,False,32
S1,2026-04-01,B,2026-04-01-B,WO-100001,49,49,0.0,True,False,1
S1,2026-04-01,C,2026-04-01-C,WO-100001,72,71,-1.389,True,False,43
S1,2026-04-02,A,2026-04-02-A,WO-100001,67,67,0.0,True,False,43
S1,2026-04-02,B,2026-04-02-B,WO-100001,54,54,0.0,True,False,24
S1,2026-04-02,C,2026-04-02-C,WO-100001,61,61,0.0,True,False,30
S1,2026-04-03,A,2026-04-03-A,WO-100001,59,59,0.0,True,False,37
S1,2026-04-03,B,2026-04-03-B,WO-100001,64,65,1.563,True,False,2
S1,2026-04-03,C,2026-04-03-C,WO-100001,63,62,-1.587,True,False,12
S1,2026-04-04,A,2026-04-04-A,WO-100001,60,61,1.667,True,False,14
S1,2026-04-04,B,2026-04-04-B,WO-100001,60,59,-1.667,True,False,43
S1,2026-04-04,C,2026-04-04-C,WO-100001,60,61,1.667,True,False,5
S1,2026-04-05,A,2026-04-05-A,WO-100001,50,51,2.0,True,False,13
S1,2026-04-05,B,2026-04-05-B,WO-100001,60,59,-1.667,True,False,23
S1,2026-04-05,C,2026-04-05-C,WO-100001,65,64,-1.538,True,False,13
S1,2026-04-06,A,2026-04-06-A,WO-100001,53,54,1.887,True,False,43
S1,2026-04-06,B,2026-04-06-B,WO-100001,52,52,0.0,True,False,26
S1,2026-04-06,C,2026-04-06-C,WO-100001,63,62,-1.587,True,False,25
S1,2026-04-07,A,2026-04-07-A,WO-100001,49,50,2.041,True,False,23
S1,2026-04-07,B,2026-04-07-B,WO-100001,48,47,-2.083,True,False,20
S1,2026-04-07,C,2026-04-07-C,WO-100001,46,47,2.174,True,False,13
S1,2026-04-08,A,2026-04-08-A,WO-100002,53,53,0.0,True,False,45
S1,2026-04-08,B,2026-04-08-B,WO-100002,54,55,1.852,True,False,21
S1,2026-04-08,C,2026-04-08-C,WO-100002,64,65,1.563,True,False,42
S1,2026-04-09,A,2026-04-09-A,WO-100002,57,57,0.0,True,False,4
S1,2026-04-09,B,2026-04-09-B,WO-100002,66,67,1.515,True,False,4
S1,2026-04-09,C,2026-04-09-C,WO-100002,51,52,1.961,True,False,1
S1,2026-04-10,A,2026-04-10-A,WO-100002,57,58,1.754,True,False,1
S1,2026-04-10,B,2026-04-10-B,WO-100002,59,58,-1.695,True,False,6
S1,2026-04-10,C,2026-04-10-C,WO-100002,70,69,-1.429,True,False,3
S1,2026-04-11,A,2026-04-11-A,WO-100002,59,58,-1.695,True,False,25
S1,2026-04-11,B,2026-04-11-B,WO-100002,60,60,0.0,True,False,22
S1,2026-04-11,C,2026-04-11-C,WO-100002,60,60,0.0,True,False,32
S1,2026-04-12,A,2026-04-12-A,WO-100002,60,61,1.667,True,False,44
S1,2026-04-12,B,2026-04-12-B,WO-100002,74,74,0.0,True,False,7
S1,2026-04-12,C,2026-04-12-C,WO-100002,54,54,0.0,True,False,31
S1,2026-04-13,A,2026-04-13-A,WO-100002,60,60,0.0,True,False,9
S1,2026-04-13,B,2026-04-13-B,WO-100002,39,39,0.0,True,False,22
S1,2026-04-13,C,2026-04-13-C,WO-100002,61,62,1.639,True,False,7
S1,2026-04-14,A,2026-04-14-A,WO-100002,51,52,1.961,True,False,0
S1,2026-04-14,B,2026-04-14-B,WO-100002,45,45,0.0,True,False,19
S1,2026-04-14,C,2026-04-14-C,WO-100002,76,77,1.316,True,False,3
S1,2026-04-15,A,2026-04-15-A,WO-100003,75,75,0.0,True,False,2
S1,2026-04-15,B,2026-04-15-B,WO-100003,58,58,0.0,True,False,8
S1,2026-04-15,C,2026-04-15-C,WO-100003,68,67,-1.471,True,False,19
S1,2026-04-16,A,2026-04-16-A,WO-100003,57,57,0.0,True,False,16
