line_id,station_id,position,mode,false_reject_cost_vu,escape_cost_vu,escape_found_at,escape_found_kind,exchange_rate,backstop
LINE-A,S1,1,DIM-OOS,0.55,2.6,S2,station,4.727,True
LINE-A,S2,2,CMP-MISS,1.11,4.2,S3,station,3.784,True
LINE-A,S2,2,DIM-OOS,1.11,4.2,S3,station,3.784,True
LINE-A,S2,2,SLD-BRDG,1.11,4.2,S3,station,3.784,True
LINE-A,S3,3,CMP-MISS,1.67,7.5,FINAL-TEST,final_test,4.491,True
LINE-A,S3,3,DIM-OOS,1.67,7.5,FINAL-TEST,final_test,4.491,True
LINE-A,S3,3,SEAL-GAP,1.67,7.5,FINAL-TEST,final_test,4.491,True
LINE-A,S3,3,SLD-BRDG,1.67,18.0,CUSTOMER,customer,10.778,False
LINE-A,S3,3,SRF-SCR,1.67,18.0,CUSTOMER,customer,10.778,False
LINE-B,S4,1,DIM-OOS,0.55,2.6,S5,station,4.727,True
LINE-B,S5,2,CMP-MISS,1.11,4.2,S6,station,3.784,True
LINE-B,S5,2,DIM-OOS,1.11,4.2,S6,station,3.784,True
LINE-B,S5,2,SLD-BRDG,1.11,4.2,S6,station,3.784,True
LINE-B,S6,3,CMP-MISS,1.67,7.5,FINAL-TEST,final_test,4.491,True
LINE-B,S6,3,DIM-OOS,1.67,7.5,FINAL-TEST,final_test,4.491,True
LINE-B,S6,3,SEAL-GAP,1.67,7.5,FINAL-TEST,final_test,4.491,True
LINE-B,S6,3,SLD-BRDG,1.67,18.0,CUSTOMER,customer,10.778,False
LINE-B,S6,3,SRF-SCR,1.67,18.0,CUSTOMER,customer,10.778,False
LINE-C,S7,1,DIM-OOS,0.55,2.6,S8,station,4.727,True
LINE-C,S8,2,CMP-MISS,1.11,4.2,S9,station,3.784,True
LINE-C,S8,2,DIM-OOS,1.11,4.2,S9,station,3.784,True
LINE-C,S8,2,SLD-BRDG,1.11,4.2,S9,station,3.784,True
LINE-C,S9,3,CMP-MISS,1.67,7.5,FINAL-TEST,final_test,4.491,True
LINE-C,S9,3,DIM-OOS,1.67,7.5,FINAL-TEST,final_test,4.491,True
LINE-C,S9,3,SEAL-GAP,1.67,7.5,FINAL-TEST,final_test,4.491,True
LINE-C,S9,3,SLD-BRDG,1.67,18.0,CUSTOMER,customer,10.778,False
LINE-C,S9,3,SRF-SCR,1.67,18.0,CUSTOMER,customer,10.778,False
