station_id,tooling_set,set_label,measure,measure_name,latest_wear_mm,limit_mm,margin_mm,within_limit,wear_rate_mm_per_1k_units,rate_first_half,rate_second_half,trend_detected,observed_rise_mm,acceleration_ratio,accelerating,projected_units_to_limit,projected_days_to_limit,projection_label
S1,eoat,End-of-arm tooling — robot gripper,gripper_pad_wear_mm,Gripper pad wear,0.04078,0.25,0.20922,True,5e-05,7e-05,4e-05,False,0.0004,0.58,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S1,eoat,End-of-arm tooling — robot gripper,tcp_offset_mm,Tool centre point offset,0.02145,0.12,0.09855,True,-1e-05,-5e-05,-3e-05,False,0.00143,,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S1,fixture,Part-holding fixture,locator_wear_mm,Locator wear,0.02071,0.15,0.12929,True,-1e-05,4e-05,4e-05,False,-0.0002,1.1,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S2,eoat,End-of-arm tooling — robot gripper,gripper_pad_wear_mm,Gripper pad wear,0.04124,0.25,0.20876,True,6e-05,0.00012,8e-05,False,9e-05,0.63,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S2,eoat,End-of-arm tooling — robot gripper,tcp_offset_mm,Tool centre point offset,0.02048,0.12,0.09952,True,1e-05,5e-05,-8e-05,False,-0.0004,-1.42,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S2,fixture,Part-holding fixture,locator_wear_mm,Locator wear,0.1282,0.15,0.0218,True,0.01016,0.0051,0.01508,True,0.10772,2.95,True,2146.0,12.0,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S3,eoat,End-of-arm tooling — robot gripper,gripper_pad_wear_mm,Gripper pad wear,0.04133,0.25,0.20867,True,-0.0,-4e-05,-9e-05,False,-0.00124,,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S3,eoat,End-of-arm tooling — robot gripper,tcp_offset_mm,Tool centre point offset,0.0205,0.12,0.0995,True,-1e-05,-1e-05,-5e-05,False,9e-05,,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S3,fixture,Part-holding fixture,locator_wear_mm,Locator wear,0.02002,0.15,0.12998,True,-2e-05,-5e-05,1e-05,False,-0.00027,,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S4,eoat,End-of-arm tooling — robot gripper,gripper_pad_wear_mm,Gripper pad wear,0.04186,0.25,0.20814,True,-3e-05,0.0,-0.00017,False,0.00097,-95.17,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S4,eoat,End-of-arm tooling — robot gripper,tcp_offset_mm,Tool centre point offset,0.02037,0.12,0.09963,True,1e-05,2e-05,-2e-05,False,-0.00017,-0.93,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S4,fixture,Part-holding fixture,locator_wear_mm,Locator wear,0.02004,0.15,0.12996,True,-0.0,-2e-05,3e-05,False,-0.00054,,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S5,eoat,End-of-arm tooling — robot gripper,gripper_pad_wear_mm,Gripper pad wear,0.04026,0.25,0.20974,True,-4e-05,-0.0,6e-05,False,-9e-05,,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S5,eoat,End-of-arm tooling — robot gripper,tcp_offset_mm,Tool centre point offset,0.10443,0.12,0.01557,True,0.00788,0.00793,0.00792,True,0.08411,1.0,False,1975.0,11.0,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S5,fixture,Part-holding fixture,locator_wear_mm,Locator wear,0.02083,0.15,0.12917,True,1e-05,-0.0,3e-05,False,0.00035,,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S6,eoat,End-of-arm tooling — robot gripper,gripper_pad_wear_mm,Gripper pad wear,0.04006,0.25,0.20994,True,-2e-05,-1e-05,-0.00012,False,-0.00034,,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S6,eoat,End-of-arm tooling — robot gripper,tcp_offset_mm,Tool centre point offset,0.02087,0.12,0.09913,True,-1e-05,0.0001,-0.0,False,0.00071,-0.01,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S6,fixture,Part-holding fixture,locator_wear_mm,Locator wear,0.0212,0.15,0.1288,True,1e-05,4e-05,2e-05,False,0.00052,0.5,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S7,eoat,End-of-arm tooling — robot gripper,gripper_pad_wear_mm,Gripper pad wear,0.04007,0.25,0.20993,True,0.0,-2e-05,1e-05,False,-0.00129,,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S7,eoat,End-of-arm tooling — robot gripper,tcp_offset_mm,Tool centre point offset,0.02014,0.12,0.09986,True,-1e-05,3e-05,5e-05,False,-0.00078,1.68,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S7,fixture,Part-holding fixture,locator_wear_mm,Locator wear,0.02037,0.15,0.12963,True,1e-05,6e-05,-0.0,False,0.00024,-0.05,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S8,eoat,End-of-arm tooling — robot gripper,gripper_pad_wear_mm,Gripper pad wear,0.29521,0.25,-0.04521,False,0.02403,0.02396,0.02398,True,0.25377,1.0,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S8,eoat,End-of-arm tooling — robot gripper,tcp_offset_mm,Tool centre point offset,0.0209,0.12,0.0991,True,2e-05,0.00013,1e-05,False,0.00054,0.09,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S8,fixture,Part-holding fixture,locator_wear_mm,Locator wear,0.02088,0.15,0.12912,True,6e-05,7e-05,0.00011,False,0.00066,1.66,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S9,eoat,End-of-arm tooling — robot gripper,gripper_pad_wear_mm,Gripper pad wear,0.04029,0.25,0.20971,True,-2e-05,8e-05,4e-05,False,0.00019,0.43,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S9,eoat,End-of-arm tooling — robot gripper,tcp_offset_mm,Tool centre point offset,0.02061,0.12,0.09939,True,-1e-05,-9e-05,0.0,False,-0.00108,,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
S9,fixture,Part-holding fixture,locator_wear_mm,Locator wear,0.02079,0.15,0.12921,True,2e-05,7e-05,6e-05,False,0.00072,0.95,False,,,"Linear extrapolation of measured wear to the tolerance limit. Not a failure prediction — no failure history, no reliability model, no claim about when anything will stop working."
