line_id,station_id,date,work_order_no,item_no,n_first_pass,n_fail,ncr_count,ncr_scrap,has_work_order,wo_day_seq,wo_cum_units
LINE-A,S1,2026-04-01,WO-100001,1000-C,155,4,0,0,True,1,155
LINE-A,S1,2026-04-02,WO-100001,1000-C,189,4,1,0,True,2,344
LINE-A,S1,2026-04-03,WO-100001,1000-C,186,4,1,0,True,3,530
LINE-A,S1,2026-04-04,WO-100001,1000-C,187,7,1,0,True,4,717
LINE-A,S1,2026-04-05,WO-100001,1000-C,166,2,0,0,True,5,883
LINE-A,S1,2026-04-06,WO-100001,1000-C,177,5,0,0,True,6,1060
LINE-A,S1,2026-04-07,WO-100001,1000-C,151,1,1,0,True,7,1211
LINE-A,S1,2026-04-08,WO-100002,1000-C,154,6,2,0,True,1,154
LINE-A,S1,2026-04-09,WO-100002,1000-C,192,2,1,0,True,2,346
LINE-A,S1,2026-04-10,WO-100002,1000-C,164,4,2,0,True,3,510
LINE-A,S1,2026-04-11,WO-100002,1000-C,194,2,1,0,True,4,704
LINE-A,S1,2026-04-12,WO-100002,1000-C,195,5,0,0,True,5,899
LINE-A,S1,2026-04-13,WO-100002,1000-C,154,3,0,0,True,6,1053
LINE-A,S1,2026-04-14,WO-100002,1000-C,154,6,0,0,True,7,1207
LINE-A,S1,2026-04-15,WO-100003,1000-B,208,5,1,0,True,1,208
LINE-A,S1,2026-04-16,WO-100003,1000-B,183,3,0,0,True,2,391
LINE-A,S1,2026-04-17,WO-100003,1000-B,177,3,0,0,True,3,568
LINE-A,S1,2026-04-18,WO-100003,1000-B,182,5,1,0,True,4,750
LINE-A,S1,2026-04-19,WO-100003,1000-B,188,4,1,0,True,5,938
LINE-A,S1,2026-04-20,WO-100003,1000-B,185,5,0,0,True,6,1123
LINE-A,S1,2026-04-21,WO-100003,1000-B,163,1,0,0,True,7,1286
LINE-A,S1,2026-04-22,WO-100004,1000-C,198,4,0,0,True,1,198
LINE-A,S1,2026-04-23,WO-100004,1000-C,150,4,0,0,True,2,348
LINE-A,S1,2026-04-24,WO-100004,1000-C,195,3,0,0,True,3,543
LINE-A,S1,2026-04-25,WO-100004,1000-C,183,3,0,0,True,4,726
LINE-A,S1,2026-04-26,WO-100004,1000-C,169,3,0,0,True,5,895
LINE-A,S1,2026-04-27,WO-100004,1000-C,183,1,0,0,True,6,1078
LINE-A,S1,2026-04-28,WO-100004,1000-C,152,3,0,0,True,7,1230
LINE-A,S1,2026-04-29,WO-100005,1000-C,207,3,0,0,True,1,207
LINE-A,S1,2026-04-30,WO-100005,1000-C,182,1,0,0,True,2,389
LINE-A,S1,2026-05-01,WO-100005,1000-C,159,4,1,1,True,3,548
LINE-A,S1,2026-05-02,WO-100005,1000-C,154,1,0,0,True,4,702
LINE-A,S1,2026-05-03,WO-100005,1000-C,202,4,0,0,True,5,904
LINE-A,S1,2026-05-04,WO-100005,1000-C,207,2,0,0,True,6,1111
LINE-A,S1,2026-05-05,WO-100005,1000-C,157,3,0,0,True,7,1268
LINE-A,S1,2026-05-06,WO-100006,1000-C,190,6,0,0,True,1,190
LINE-A,S1,2026-05-07,WO-100006,1000-C,169,0,0,0,True,2,359
LINE-A,S1,2026-05-08,WO-100006,1000-C,174,7,1,0,True,3,533
