WORK_ORDER_NO,ITEM_NO,ITEM_REV,PROD_LINE,PLANT_CD,WO_STATUS,SCHED_START_DT,SCHED_END_DT,QTY_ORDERED,UOM,PLANNER_CD
WO-100001,1000-C,C,LN_A,ATL1,CLOSED,04/01/2026,04/07/2026,3640,EA,PL01
WO-100002,1000-C,C,LN_A,ATL1,CLOSED,04/08/2026,04/14/2026,3770,EA,PL02
WO-100003,1000-B,B,LN_A,ATL1,CLOSED,04/15/2026,04/21/2026,3780,EA,PL03
WO-100004,1000-C,C,LN_A,ATL1,CLOSED,04/22/2026,04/28/2026,3710,EA,PL01
WO-100005,1000-C,C,LN_A,ATL1,CLOSED,04/29/2026,05/05/2026,3650,EA,PL02
WO-100006,1000-C,C,LN_A,ATL1,CLOSED,05/06/2026,05/12/2026,3660,EA,PL03
WO-100007,1000-C,C,LN_A,ATL1,CLOSED,05/13/2026,05/19/2026,3800,EA,PL01
WO-100008,1000-C,C,LN_A,ATL1,CLOSED,05/20/2026,05/26/2026,3680,EA,PL02
WO-100009,1000-C,C,LN_A,ATL1,CLOSED,05/27/2026,05/30/2026,2010,EA,PL03
WO-100010,1000-C,C,LN_B,ATL1,CLOSED,04/01/2026,04/07/2026,3850,EA,PL01
WO-100011,1000-C,C,LN_B,ATL1,CLOSED,04/08/2026,04/14/2026,3860,EA,PL02
WO-100012,1000-C,C,LN_B,ATL1,CLOSED,04/15/2026,04/21/2026,3780,EA,PL03
WO-100013,1000-C,C,LN_B,ATL1,CLOSED,04/22/2026,04/28/2026,3630,EA,PL01
WO-100014,1000-C,C,LN_B,ATL1,CLOSED,04/29/2026,05/05/2026,3800,EA,PL02
WO-100015,1000-C,C,LN_B,ATL1,CLOSED,05/06/2026,05/12/2026,3710,EA,PL03
WO-100016,1000-C,C,LN_B,ATL1,CLOSED,05/13/2026,05/19/2026,3870,EA,PL01
WO-100017,1000-C,C,LN_B,ATL1,CLOSED,05/20/2026,05/26/2026,3710,EA,PL02
WO-100018,1000-C,C,LN_B,ATL1,CLOSED,05/27/2026,05/30/2026,2270,EA,PL03
WO-100019,1000-C,C,LN_C,ATL1,CLOSED,04/01/2026,04/07/2026,3930,EA,PL01
WO-100020,1000-C,C,LN_C,ATL1,CLOSED,04/08/2026,04/14/2026,3700,EA,PL02
WO-100021,1000-C,C,LN_C,ATL1,CLOSED,04/15/2026,04/21/2026,3680,EA,PL03
WO-100022,1000-C,C,LN_C,ATL1,CLOSED,04/22/2026,04/26/2026,2670,EA,PL01
WO-100023,1000-C,C,LN_C,ATL1,CLOSED,04/29/2026,05/05/2026,3680,EA,PL02
WO-100024,1000-C,C,LN_C,ATL1,CLOSED,05/06/2026,05/12/2026,3760,EA,PL03
WO-100025,1000-C,C,LN_C,ATL1,CLOSED,05/13/2026,05/19/2026,3800,EA,PL01
WO-100026,1000-C,C,LN_C,ATL1,CLOSED,05/20/2026,05/26/2026,3750,EA,PL02
WO-100027,1000-C,C,LN_C,ATL1,CLOSED,05/27/2026,05/30/2026,2140,EA,PL03
