shift_id,work_center,shift_code,shift_start_ts,shift_end_ts,wo_no,units_started,units_completed,downtime_min,operator_badge
2026-03-31-C,WC-01,C,2026-03-31 22:00:00,2026-04-01 06:00:00,,41,41,39,OP-1026
2026-03-31-C,WC-02,C,2026-03-31 22:00:00,2026-04-01 06:00:00,,27,25,4,OP-1013
2026-03-31-C,WC-03,C,2026-03-31 22:00:00,2026-04-01 06:00:00,,51,48,22,OP-1019
2026-03-31-C,WC-04,C,2026-03-31 22:00:00,2026-04-01 06:00:00,,52,51,23,OP-1015
2026-03-31-C,WC-05,C,2026-03-31 22:00:00,2026-04-01 06:00:00,,53,51,41,OP-1006
2026-03-31-C,WC-06,C,2026-03-31 22:00:00,2026-04-01 06:00:00,,44,43,21,OP-1030
2026-03-31-C,WC-07,C,2026-03-31 22:00:00,2026-04-01 06:00:00,,53,53,44,OP-1027
2026-03-31-C,WC-08,C,2026-03-31 22:00:00,2026-04-01 06:00:00,,35,35,19,OP-1008
2026-03-31-C,WC-09,C,2026-03-31 22:00:00,2026-04-01 06:00:00,,46,47,35,OP-1019
2026-04-01-A,WC-01,A,2026-04-01 06:00:00,2026-04-01 14:00:00,100001,50,49,32,OP-1007
2026-04-01-A,WC-02,A,2026-04-01 06:00:00,2026-04-01 14:00:00,100001,47,46,22,OP-1037
2026-04-01-A,WC-03,A,2026-04-01 06:00:00,2026-04-01 14:00:00,100001,55,53,18,OP-1017
2026-04-01-A,WC-04,A,2026-04-01 06:00:00,2026-04-01 14:00:00,100010,68,68,28,OP-1028
2026-04-01-A,WC-05,A,2026-04-01 06:00:00,2026-04-01 14:00:00,100010,60,59,32,OP-1004
2026-04-01-A,WC-06,A,2026-04-01 06:00:00,2026-04-01 14:00:00,100010,57,54,3,OP-1004
2026-04-01-A,WC-07,A,2026-04-01 06:00:00,2026-04-01 14:00:00,100019,71,70,8,OP-1017
2026-04-01-A,WC-08,A,2026-04-01 06:00:00,2026-04-01 14:00:00,100019,59,60,33,OP-1002
2026-04-01-A,WC-09,A,2026-04-01 06:00:00,2026-04-01 14:00:00,100019,70,67,32,OP-1000
2026-04-01-B,WC-01,B,2026-04-01 14:00:00,2026-04-01 22:00:00,100001,51,49,1,OP-1006
2026-04-01-B,WC-02,B,2026-04-01 14:00:00,2026-04-01 22:00:00,100001,65,62,37,OP-1016
2026-04-01-B,WC-03,B,2026-04-01 14:00:00,2026-04-01 22:00:00,100001,68,66,39,OP-1023
2026-04-01-B,WC-04,B,2026-04-01 14:00:00,2026-04-01 22:00:00,100010,62,62,34,OP-1038
2026-04-01-B,WC-05,B,2026-04-01 14:00:00,2026-04-01 22:00:00,100010,59,59,41,OP-1037
2026-04-01-B,WC-06,B,2026-04-01 14:00:00,2026-04-01 22:00:00,100010,58,57,0,OP-1026
2026-04-01-B,WC-07,B,2026-04-01 14:00:00,2026-04-01 22:00:00,100019,62,62,37,OP-1002
2026-04-01-B,WC-08,B,2026-04-01 14:00:00,2026-04-01 22:00:00,100019,64,64,25,OP-1024
2026-04-01-B,WC-09,B,2026-04-01 14:00:00,2026-04-01 22:00:00,100019,75,76,39,OP-1031
2026-04-01-C,WC-01,C,2026-04-01 22:00:00,2026-04-02 06:00:00,100001,72,71,43,OP-1009
2026-04-01-C,WC-02,C,2026-04-01 22:00:00,2026-04-02 06:00:00,100001,62,60,6,OP-1009
2026-04-01-C,WC-03,C,2026-04-01 22:00:00,2026-04-02 06:00:00,100001,66,65,43,OP-1001
2026-04-01-C,WC-04,C,2026-04-01 22:00:00,2026-04-02 06:00:00,100010,70,71,11,OP-1015
2026-04-01-C,WC-05,C,2026-04-01 22:00:00,2026-04-02 06:00:00,100010,62,62,23,OP-1034
2026-04-01-C,WC-06,C,2026-04-01 22:00:00,2026-04-02 06:00:00,100010,65,65,28,OP-1015
2026-04-01-C,WC-07,C,2026-04-01 22:00:00,2026-04-02 06:00:00,100019,55,56,44,OP-1032
2026-04-01-C,WC-08,C,2026-04-01 22:00:00,2026-04-02 06:00:00,100019,66,65,19,OP-1010
2026-04-01-C,WC-09,C,2026-04-01 22:00:00,2026-04-02 06:00:00,100019,61,59,41,OP-1020
2026-04-02-A,WC-01,A,2026-04-02 06:00:00,2026-04-02 14:00:00,100001,69,67,43,OP-1036
2026-04-02-A,WC-02,A,2026-04-02 06:00:00,2026-04-02 14:00:00,100001,60,58,23,OP-1006
2026-04-02-A,WC-03,A,2026-04-02 06:00:00,2026-04-02 14:00:00,100001,70,69,44,OP-1032
2026-04-02-A,WC-04,A,2026-04-02 06:00:00,2026-04-02 14:00:00,100010,66,65,28,OP-1026
2026-04-02-A,WC-05,A,2026-04-02 06:00:00,2026-04-02 14:00:00,100010,59,57,1,OP-1026
2026-04-02-A,WC-06,A,2026-04-02 06:00:00,2026-04-02 14:00:00,100010,69,69,36,OP-1009
2026-04-02-A,WC-07,A,2026-04-02 06:00:00,2026-04-02 14:00:00,100019,64,64,9,OP-1014
2026-04-02-A,WC-08,A,2026-04-02 06:00:00,2026-04-02 14:00:00,100019,64,63,38,OP-1007
2026-04-02-A,WC-09,A,2026-04-02 06:00:00,2026-04-02 14:00:00,100019,70,69,41,OP-1017
2026-04-02-B,WC-01,B,2026-04-02 14:00:00,2026-04-02 22:00:00,100001,54,54,24,OP-1030
2026-04-02-B,WC-02,B,2026-04-02 14:00:00,2026-04-02 22:00:00,100001,60,59,16,OP-1039
2026-04-02-B,WC-03,B,2026-04-02 14:00:00,2026-04-02 22:00:00,100001,67,66,30,OP-1015
2026-04-02-B,WC-04,B,2026-04-02 14:00:00,2026-04-02 22:00:00,100010,65,63,33,OP-1028
2026-04-02-B,WC-05,B,2026-04-02 14:00:00,2026-04-02 22:00:00,100010,65,65,23,OP-1029
2026-04-02-B,WC-06,B,2026-04-02 14:00:00,2026-04-02 22:00:00,100010,71,71,37,OP-1028
2026-04-02-B,WC-07,B,2026-04-02 14:00:00,2026-04-02 22:00:00,100019,63,64,32,OP-1027
2026-04-02-B,WC-08,B,2026-04-02 14:00:00,2026-04-02 22:00:00,100019,80,79,37,OP-1000
2026-04-02-B,WC-09,B,2026-04-02 14:00:00,2026-04-02 22:00:00,100019,69,68,10,OP-1039
2026-04-02-C,WC-01,C,2026-04-02 22:00:00,2026-04-03 06:00:00,100001,63,61,30,OP-1020
2026-04-02-C,WC-02,C,2026-04-02 22:00:00,2026-04-03 06:00:00,100001,58,58,42,OP-1025
2026-04-02-C,WC-03,C,2026-04-02 22:00:00,2026-04-03 06:00:00,100001,71,70,15,OP-1025
2026-04-02-C,WC-04,C,2026-04-02 22:00:00,2026-04-03 06:00:00,100010,60,59,22,OP-1038
2026-04-02-C,WC-05,C,2026-04-02 22:00:00,2026-04-03 06:00:00,100010,61,59,15,OP-1025
2026-04-02-C,WC-06,C,2026-04-02 22:00:00,2026-04-03 06:00:00,100010,64,62,9,OP-1003
2026-04-02-C,WC-07,C,2026-04-02 22:00:00,2026-04-03 06:00:00,100019,59,59,24,OP-1028
2026-04-02-C,WC-08,C,2026-04-02 22:00:00,2026-04-03 06:00:00,100019,59,58,43,OP-1007
2026-04-02-C,WC-09,C,2026-04-02 22:00:00,2026-04-03 06:00:00,100019,84,83,30,OP-1036
2026-04-03-A,WC-01,A,2026-04-03 06:00:00,2026-04-03 14:00:00,100001,59,59,37,OP-1037
2026-04-03-A,WC-02,A,2026-04-03 06:00:00,2026-04-03 14:00:00,100001,65,64,1,OP-1012
