NCR_NO,SERIAL_NO,DEFECT_CATEGORY,SEVERITY,DISPOSITION,OPENED_DT,CLOSED_DT,CAPA_NO,ORIGINATOR
NCR-2026-0001,s4-00-0152,MISSING COMPONENT,MINOR,REWORK,2026-04-01,2026-04-17,,QE-101
NCR-2026-0002,s4-00-0041,SURFACE FINISH,MINOR,REWORK,2026-04-01,2026-04-07,,QE-101
NCR-2026-0003,s5-00-0062,MISSING COMPONENT,MINOR,REWORK,2026-04-01,2026-04-15,,QE-100
NCR-2026-0004,s1-00-9999,SOLDER,MINOR,REWORK,2026-04-01,2026-04-03,,QE-102
NCR-2026-0005,s4-00-0054,LABELING,MINOR,USE AS IS,2026-04-01,2026-04-12,,QE-111
NCR-2026-0006,s2-00-0078,OTHER,MINOR,USE AS IS,2026-04-01,2026-04-05,,QE-106
NCR-2026-0007,s5-01-0126,SOLDER,MINOR,REWORK,2026-04-02,2026-04-20,,QE-101
NCR-2026-0008,s1-01-0060,MISSING COMPONENT,MINOR,REWORK,2026-04-02,2026-04-11,,QE-103
NCR-2026-0009,s8-01-0094,SOLDER,MINOR,REWORK,2026-04-02,2026-04-14,,QE-107
NCR-2026-0010,s7-01-0142,MISSING COMPONENT,MINOR,REWORK,2026-04-02,2026-04-20,,QE-108
NCR-2026-0011,s6-02-0090,SURFACE FINISH,MINOR,REWORK,2026-04-03,2026-04-07,,QE-103
NCR-2026-0012,s7-02-0102,MISSING COMPONENT,MINOR,REWORK,2026-04-03,2026-04-14,,QE-106
NCR-2026-0013,s9-02-9999,SOLDER,MAJOR,REWORK,2026-04-03,2026-04-10,CAPA-2012,QE-101
NCR-2026-0014,s1-02-0046,SOLDER,MINOR,REWORK,2026-04-03,2026-04-22,,QE-107
NCR-2026-0015,s6-03-0036,SOLDER,MINOR,REWORK,2026-04-04,2026-04-13,,QE-105
NCR-2026-0016,s1-03-0178,MISSING COMPONENT,MINOR,REWORK,2026-04-04,2026-04-08,,QE-102
NCR-2026-0017,s3-04-0123,MISSING COMPONENT,MINOR,REWORK,2026-04-05,2026-04-10,,QE-107
NCR-2026-0018,s6-04-0045,SURFACE FINISH,MINOR,REWORK,2026-04-05,2026-04-08,,QE-100
NCR-2026-0019,s4-04-0006,SOLDER,MINOR,REWORK,2026-04-05,2026-04-18,,QE-108
NCR-2026-0020,s5-04-0085,MISSING COMPONENT,MINOR,REWORK,2026-04-05,2026-04-16,,QE-111
NCR-2026-0021,s9-04-0127,SOLDER,MINOR,REWORK,2026-04-05,2026-04-07,,QE-103
NCR-2026-0022,s9-04-0024,MISSING COMPONENT,MINOR,REWORK,2026-04-05,2026-04-06,,QE-106
NCR-2026-0023,s3-04-0061,SOLDER,MINOR,REWORK,2026-04-05,2026-04-10,,QE-104
NCR-2026-0024,s4-05-0077,LABELING,MINOR,REWORK,2026-04-06,2026-04-08,,QE-102
NCR-2026-0025,s3-05-0158,SOLDER,MINOR,REWORK,2026-04-06,2026-04-23,,QE-104
NCR-2026-0026,s4-05-0123,OTHER,MINOR,REWORK,2026-04-06,2026-04-09,,QE-108
NCR-2026-0027,s9-05-0160,DIMENSIONAL,MINOR,REWORK,2026-04-06,2026-04-12,,QE-106
NCR-2026-0028,s2-05-0018,SOLDER,MINOR,REWORK,2026-04-06,2026-04-17,,QE-101
NCR-2026-0029,s9-06-0003,MISSING COMPONENT,MINOR,USE AS IS,2026-04-07,2026-04-14,,QE-106
NCR-2026-0030,s6-06-0120,SOLDER,MINOR,REWORK,2026-04-07,2026-04-19,,QE-100
NCR-2026-0031,s1-06-0102,SURFACE FINISH,MINOR,USE AS IS,2026-04-07,2026-04-27,,QE-102
NCR-2026-0032,s4-06-0003,SOLDER,MINOR,REWORK,2026-04-07,2026-04-20,,QE-104
NCR-2026-0033,s7-06-0111,SOLDER,MINOR,REWORK,2026-04-07,2026-04-10,,QE-100
NCR-2026-0034,s9-06-0116,MISSING COMPONENT,MINOR,REWORK,2026-04-07,2026-04-23,,QE-100
NCR-2026-0035,s1-07-0120,MISSING COMPONENT,MINOR,REWORK,2026-04-08,2026-04-27,,QE-108
NCR-2026-0036,s4-07-0130,SOLDER,MINOR,REWORK,2026-04-08,2026-04-21,,QE-101
NCR-2026-0037,s3-07-0096,SOLDER,MINOR,REWORK,2026-04-08,2026-04-10,,QE-107
NCR-2026-0038,s1-07-0016,SOLDER,MINOR,REWORK,2026-04-08,2026-04-16,,QE-110
NCR-2026-0039,s9-07-0101,LABELING,MINOR,REWORK,2026-04-08,2026-04-21,,QE-106
NCR-2026-0040,s2-08-0111,SOLDER,MAJOR,SCRAP,2026-04-09,2026-04-29,CAPA-2039,QE-101
NCR-2026-0041,s2-08-0015,SOLDER,MINOR,REWORK,2026-04-09,2026-04-15,,QE-100
NCR-2026-0042,s4-08-0062,MISSING COMPONENT,MINOR,REWORK,2026-04-09,2026-04-15,,QE-105
NCR-2026-0043,s6-08-0069,SURFACE FINISH,MINOR,USE AS IS,2026-04-09,2026-04-13,,QE-106
NCR-2026-0044,s1-08-0091,SURFACE FINISH,MINOR,REWORK,2026-04-09,2026-04-11,,QE-100
NCR-2026-0045,s3-09-0118,SOLDER,MAJOR,SCRAP,2026-04-10,2026-04-26,CAPA-2044,QE-106
NCR-2026-0046,s6-09-0032,SOLDER,MINOR,REWORK,2026-04-10,2026-04-19,,QE-102
NCR-2026-0047,s2-09-0037,MISSING COMPONENT,MINOR,REWORK,2026-04-10,2026-04-13,,QE-107
NCR-2026-0048,s1-09-0086,SOLDER,MINOR,REWORK,2026-04-10,2026-04-23,,QE-106
NCR-2026-0049,s1-09-0049,SOLDER,MINOR,USE AS IS,2026-04-10,2026-04-13,,QE-107
NCR-2026-0050,s5-09-0178,MISSING COMPONENT,MINOR,USE AS IS,2026-04-10,2026-04-25,,QE-111
NCR-2026-0051,s3-10-0024,SURFACE FINISH,MINOR,REWORK,2026-04-11,2026-04-23,,QE-107
NCR-2026-0052,s1-10-0185,SURFACE FINISH,MINOR,REWORK,2026-04-11,2026-04-24,,QE-109
NCR-2026-0053,s6-10-0170,SURFACE FINISH,MINOR,REWORK,2026-04-11,2026-04-16,,QE-111
NCR-2026-0054,s9-10-0048,SURFACE FINISH,MINOR,REWORK,2026-04-11,2026-05-01,,QE-100
NCR-2026-0055,s8-10-0011,MISSING COMPONENT,MINOR,REWORK,2026-04-11,2026-04-17,,QE-109
NCR-2026-0056,s3-10-0087,SOLDER,MINOR,REWORK,2026-04-11,2026-04-15,,QE-108
NCR-2026-0057,s5-10-0134,MISSING COMPONENT,MINOR,USE AS IS,2026-04-11,2026-05-01,,QE-107
NCR-2026-0058,s7-11-0043,MISSING COMPONENT,MINOR,USE AS IS,2026-04-12,2026-04-26,,QE-110
NCR-2026-0059,s3-11-0002,MISSING COMPONENT,MINOR,REWORK,2026-04-12,2026-04-18,,QE-108
NCR-2026-0060,s4-11-9999,SOLDER,MINOR,REWORK,2026-04-12,2026-04-23,,QE-107
