production_day,line_id,station_id,units_processed,ref_brightness_pct,ref_sharpness_score,datamatrix_grade,ref_bias_mm,ref_repeatability_mm,locator_wear_mm,clamp_offset_mm,gripper_pad_wear_mm,tcp_offset_mm,jaw_parallelism_mm
2026-04-01,LINE-A,S1,180,100.15,0.9358,3.82,0.00238,0.00659,0.02091,0.01519,0.04038,0.02002,0.01577
2026-04-01,LINE-A,S2,180,100.44,0.9431,3.8,0.00245,0.00606,0.02048,0.01683,0.04115,0.02088,0.01504
2026-04-01,LINE-A,S3,180,99.92,0.9383,3.79,0.00221,0.00611,0.02029,0.01565,0.04257,0.02041,0.01546
2026-04-01,LINE-B,S4,180,99.59,0.9425,3.83,0.00195,0.00625,0.02058,0.01598,0.04089,0.02054,0.0156
2026-04-01,LINE-B,S5,180,100.12,0.9405,3.81,0.00235,0.00607,0.02048,0.0151,0.04035,0.02032,0.01631
2026-04-01,LINE-B,S6,180,99.76,0.9374,3.79,0.0026,0.00626,0.02068,0.01752,0.0404,0.02016,0.01553
2026-04-01,LINE-C,S7,180,100.36,0.9432,3.79,0.00182,0.00626,0.02013,0.01691,0.04136,0.02092,0.01545
2026-04-01,LINE-C,S8,180,100.07,0.9428,3.79,0.00206,0.00615,0.02022,0.01569,0.04144,0.02036,0.01534
2026-04-01,LINE-C,S9,180,99.5,0.9416,3.76,0.00218,0.0062,0.02007,0.01563,0.0401,0.02169,0.0163
2026-04-02,LINE-A,S1,360,99.55,0.9385,3.84,0.00186,0.00622,0.02065,0.01531,0.04114,0.02034,0.01576
2026-04-02,LINE-A,S2,360,99.14,0.9417,3.81,0.00176,0.00638,0.02081,0.01561,0.04028,0.02002,0.01644
2026-04-02,LINE-A,S3,360,100.11,0.9454,3.83,0.00214,0.00644,0.02083,0.01596,0.04111,0.02039,0.01624
2026-04-02,LINE-B,S4,360,100.32,0.9391,3.76,0.00159,0.00609,0.02059,0.018,0.0435,0.02041,0.01589
2026-04-02,LINE-B,S5,360,98.93,0.9411,3.78,0.00183,0.00618,0.0201,0.0166,0.04019,0.0231,0.01593
2026-04-02,LINE-B,S6,360,99.76,0.9398,3.85,0.00205,0.00629,0.02035,0.01678,0.04116,0.02073,0.01692
2026-04-02,LINE-C,S7,360,99.59,0.9434,3.77,0.00237,0.00612,0.02011,0.01506,0.04079,0.02045,0.01541
2026-04-02,LINE-C,S8,360,99.39,0.9349,3.81,0.00263,0.00638,0.02008,0.01543,0.04565,0.02022,0.01537
2026-04-02,LINE-C,S9,360,99.95,0.9367,3.73,0.00145,0.0065,0.02121,0.01527,0.04046,0.02146,0.016
2026-04-03,LINE-A,S1,540,100.0,0.9393,3.81,0.00256,0.00603,0.02045,0.01808,0.04006,0.02084,0.0161
2026-04-03,LINE-A,S2,540,99.56,0.9387,3.83,0.00147,0.00666,0.02073,0.01601,0.0412,0.02054,0.0162
2026-04-03,LINE-A,S3,540,100.12,0.9407,3.77,0.00204,0.00607,0.02176,0.01782,0.04102,0.02029,0.01632
